"","stopword"
"1","있다"
"2","되다"
"3","하다"
"4","그렇다"
"5","되다"
"6","같다"
"7","가다"
"8","없다"
"9","보다"
"10","정도"
"11","000원"
"12","030원"
"13","주세요"
"14","어떻다"
"15","않다"
"16","대하다"
"17","위하다"
"18","http"
"19","news"
"20","com"
"21","www"
"22","kr"
"23","html"
"24","naver"
"25","ids"
"26","read"
"27","mode"
"28","idxno "
"29","lsd "
"30","nhn "
"31","articleview"
"32","ooo"
"33","srf"
"34","mama"
"35","gmo"
"36","it"
"37","the"
"38","sid"
"39","oid"
"40","http"
"41","lng"
"42","petition"
"43","navigation"
"44","주다"
"45","해당"
"46","댓글은"
"47","작성자와"
"48","운영진만"
"49","볼"
"50","있습니다."
